AIB parody party music video.
Heart sensor crapped out. 
Walked before.




H: nan T: 1454385447.0
B: 28 T: 1454385447.0
H: nan T: 1454385448.0
B: 28 T: 1454385448.0
H: nan T: 1454385449.0
B: 28 T: 1454385449.0
H: nan T: 1454385450.0
B: 29 T: 1454385450.0
H: nan T: 1454385451.0
B: 29 T: 1454385451.0
H: nan T: 1454385452.0
B: 29 T: 1454385452.0
H: nan T: 1454385453.0
B: 29 T: 1454385453.0
H: nan T: 1454385454.0
B: 27 T: 1454385454.0
H: nan T: 1454385455.0
B: 27 T: 1454385455.0
H: nan T: 1454385456.0
B: 27 T: 1454385456.0
H: nan T: 1454385457.0
B: 27 T: 1454385457.0
H: nan T: 1454385458.0
B: 27 T: 1454385458.0
H: nan T: 1454385459.0
B: 26 T: 1454385459.0
H: nan T: 1454385460.0
B: 26 T: 1454385460.0
H: nan T: 1454385461.0
B: 27 T: 1454385461.0
H: nan T: 1454385462.0
B: 27 T: 1454385462.0
H: nan T: 1454385463.0
B: 27 T: 1454385463.0
H: nan T: 1454385464.0
B: 27 T: 1454385464.0
H: nan T: 1454385465.0
B: 28 T: 1454385465.0
H: nan T: 1454385466.0
B: 28 T: 1454385466.0
H: nan T: 1454385467.0
B: 26 T: 1454385467.0
H: nan T: 1454385468.0
B: 26 T: 1454385468.0
H: nan T: 1454385469.0
B: 26 T: 1454385469.0
H: nan T: 1454385470.0
B: 27 T: 1454385470.0
H: nan T: 1454385471.0
B: 26 T: 1454385471.0
H: nan T: 1454385472.0
B: 27 T: 1454385472.0
H: nan T: 1454385474.0
B: 27 T: 1454385474.0
H: nan T: 1454385474.0
B: 28 T: 1454385474.0
H: nan T: 1454385475.0
B: 29 T: 1454385475.0
H: nan T: 1454385476.0
B: 29 T: 1454385476.0
H: nan T: 1454385478.0
B: 29 T: 1454385478.0
H: nan T: 1454385479.0
B: 30 T: 1454385479.0
H: nan T: 1454385479.0
B: 30 T: 1454385479.0
H: nan T: 1454385480.0
B: 30 T: 1454385480.0
H: nan T: 1454385481.0
B: 31 T: 1454385481.0
H: nan T: 1454385483.0
B: 32 T: 1454385483.0
H: nan T: 1454385484.0
B: 30 T: 1454385484.0
H: nan T: 1454385484.0
B: 30 T: 1454385485.0
H: nan T: 1454385485.0
B: 31 T: 1454385485.0
H: nan T: 1454385487.0
B: 31 T: 1454385487.0
H: nan T: 1454385488.0
B: 31 T: 1454385488.0
H: nan T: 1454385489.0
